name,ra,dec,redshift,mag_r,flag,N_g,N_r,N_i,N_z
J003634.26-430141.71,9.14275,-43.0283,0.807,20.787,QQ,187,202,201,386
J003635.93-434636.01,9.14971,-43.7767,1.69,19.687,QQ,116,119,118,239
J003639.49-430400.30,9.16454,-43.0667,1.316,19.734,QQ,222,234,236,468
J003640.39-433926.36,9.1683,-43.6573,1.181,21.5532,Q,68,78,79,173
J003648.83-440303.88,9.20346,-44.0511,1.425,21.118,QQ,115,117,120,224
J003648.98-431917.41,9.20407,-43.3215,1.329,22.762,Q,50,83,98,202
J003650.04-432118.47,9.20849,-43.3551,1.063,21.5471,Q,110,120,119,230
J003653.08-435441.51,9.22117,-43.9115,1.57,19.169,QQ,119,64,33,112
J003654.90-431822.94,9.22874,-43.3064,2.671,22.6966,Q,88,98,76,85
J003659.81-443037.70,9.24921,-44.5105,0.932,20.5,QQ,116,120,121,237
J003700.21-441033.05,9.25089,-44.1758,1.183,19.2401,Q,119,123,122,229
J003703.65-434759.49,9.26521,-43.7999,1.233,19.802,QQ,118,124,121,239
J003703.74-442728.58,9.26558,-44.4579,1.611,22.205,QQ,113,113,62,110
J003704.86-443233.40,9.27025,-44.5426,1.233,20.388,QQ,48,41,39,71
J003708.58-432352.80,9.28575,-43.398,1.245,20.392,QQ,7,8,9,8
J003710.86-444048.11,9.29525,-44.68,1.065,18.313,QQ,34,14,15,12
J003711.44-444314.52,9.29767,-44.7207,1.89,20.134,QQ,119,119,117,235
J003717.87-443014.12,9.32446,-44.5039,1.324,20.504,QQ,120,118,116,201
J003721.82-443051.40,9.34092,-44.5143,1.712,20.028,QQ,116,118,118,239
J003723.30-442244.69,9.34709,-44.3791,1.33,21.162,Q,104,104,92,167
J003723.59-442258.08,9.34829,-44.3828,1.612,19.582,QQ,114,115,112,224
J003725.23-431710.90,9.35513,-43.2864,1.171,19.664,QQ,115,120,125,239
J003729.69-430702.89,9.37371,-43.1175,2.252,19.272,QQ,35,35,39,62
J003734.68-441539.50,9.3945,-44.261,1.738,19.943,QQ,120,121,119,242
J003738.22-443838.29,9.40925,-44.644,1.383,19.795,QQ,112,118,113,223
J003739.59-432521.40,9.41496,-43.4226,1.811,20.404,QQ,117,121,123,239
J003743.89-434715.68,9.43287,-43.7877,2.255,19.262,QQ,119,121,121,238
J003753.05-432824.53,9.47103,-43.4735,0.398,19.0506,Q,119,124,126,236
J003805.00-433505.21,9.52083,-43.5848,2.005,19.972,QQ,98,44,36,148
J003809.48-435241.30,9.5395,-43.8781,0.938,19.2,QQ,119,120,121,242
J003814.08-433314.90,9.55867,-43.5541,1.392,18.066,QQ,20,2,5,17
J003816.16-434647.39,9.56733,-43.7798,2.145,19.287,QQ,93,81,47,162
J003819.73-443134.00,9.58221,-44.5261,1.303,18.469,QQ,117,121,119,240
J003822.11-433457.72,9.59212,-43.5827,1.371,20.329,QQ,119,122,121,237
J003827.69-433518.21,9.61537,-43.5884,1.415,19.974,QQ,115,119,102,121
J003829.91-434454.31,9.62463,-43.7484,1.563,17.641,QQ,116,119,120,242
J003834.04-432457.71,9.64183,-43.416,1.133,20.108,QQ,79,83,107,237
J003834.47-433807.12,9.64363,-43.6353,0.453,20.1152,Q,111,104,105,226
J003848.52-440202.11,9.70217,-44.0339,2.098,19.372,QQ,110,117,113,204
J003848.77-434518.61,9.70321,-43.7552,1.199,20.761,QQ,114,105,113,231
J003851.65-442209.51,9.7152,-44.3693,0.8,20.4228,q,117,119,117,238
J003853.27-430158.30,9.72196,-43.0329,1.387,20.008,QQ,11,10,17,27
J003858.70-443045.51,9.74458,-44.5126,1.567,19.93,QQ,36,7,5,18
J003902.08-432137.11,9.75867,-43.3603,2.425,21.203,QQ,51,50,71,203
J003909.79-442443.92,9.79078,-44.4122,0.2,18.3447,q,114,120,114,240
J003911.43-430939.89,9.79762,-43.1611,1.112,19.48,QQ,100,112,111,218
J003914.17-443844.20,9.80904,-44.6456,1.03,19.24,QQ,90,93,92,183
J003920.50-440441.20,9.83542,-44.0781,1.811,19.591,QQ,119,121,121,239
J003921.57-441844.60,9.83988,-44.3124,1.812,19.787,QQ,117,119,119,238
J003922.97-430230.40,9.84571,-43.0418,1.368,19.372,QQ,117,119,122,236
J003926.59-444425.52,9.86079,-44.7404,1.398,20.057,QQ,115,116,113,237
J003927.49-442253.51,9.86454,-44.3815,0.53,20.404,QQ,116,119,121,239
J003931.03-433137.81,9.87929,-43.5272,0.645,19.398,QQ,115,120,120,241
J003936.45-433934.60,9.90187,-43.6596,1.42,21.105,QQ,13,25,33,103
J003936.81-443439.68,9.90337,-44.5777,2.143,19.695,QQ,115,120,116,228
J003939.17-432606.11,9.91321,-43.435,2.444,19.669,QQ,114,120,120,238
J003939.41-444612.89,9.91421,-44.7702,1.793,20.045,QQ,119,115,116,238
J003940.37-440145.80,9.91821,-44.0294,1.218,19.867,QQ,114,118,116,240
J003940.80-443718.30,9.92,-44.6217,1.875,19.336,QQ,119,121,120,242
J003948.24-445323.20,9.951,-44.8898,1.686,19.276,QQ,122,123,121,244
J003948.40-443658.61,9.95167,-44.6163,4.041,21.924,QQ,85,119,115,219
J003950.64-442418.89,9.961,-44.4052,0.504,17.7407,Q,120,118,118,232
J003952.64-442753.20,9.96933,-44.4648,1.586,19.733,QQ,120,118,120,242
J003954.13-440509.99,9.97554,-44.0861,0.332,19.165,QQ,115,120,119,239
J003954.17-432738.88,9.97571,-43.4608,1.28,20.248,QQ,118,123,123,238
J003956.32-442047.69,9.98467,-44.3466,1.675,19.652,QQ,115,119,112,175
J003957.42-434107.91,9.98925,-43.6855,2.505,19.952,QQ,116,122,116,238
J004007.56-444001.60,10.0315,-44.6671,2.918,20.296,QQ,116,115,113,184
J004009.06-431255.29,10.0378,-43.2154,0.434,18.791,QQ,115,119,121,237
J004014.18-431716.30,10.0591,-43.2879,1.842,19.622,QQ,115,119,124,213
J004016.08-432710.51,10.067,-43.4529,2.37,21.755,QQ,117,120,120,239
J004016.18-435116.09,10.0674,-43.8545,1.991,19.707,QQ,114,117,118,240
J004016.88-442556.21,10.0703,-44.4323,1.573,19.579,QQ,118,121,122,239
J004020.36-432053.99,10.0848,-43.3483,0.88,19.356,QQ,19,11,1,0
J004022.52-442820.20,10.0938,-44.4723,2.093,18.953,QQ,116,116,118,236
J004028.68-431421.04,10.1195,-43.2392,1.4,21.2959,q,115,118,120,234
J004029.04-441705.00,10.121,-44.2847,1.782,19.756,QQ,101,107,107,205
J004036.62-444708.43,10.1526,-44.7857,2.3,18.8775,q,60,113,120,237
J004041.31-433818.60,10.1721,-43.6385,0.763,19.863,QQ,115,120,118,240
J004042.70-440341.11,10.1779,-44.0614,0.853,19.561,QQ,119,113,44,97
